,address,price,price_m2,area_m2,rooms,floor,parking,market,build_yr,building_type,elevator,heating_type,max_floor,balcony,backyard,terrace,building_age,district,street,log_price,log_price_m2,log_area_m2
316,"Gdynia, Orłowo",5400000.0,82569.0,65.4,3.0,1.0,1,wtórny,2017.0,apartamentowiec,1.0,miejskie,2.0,1,0,1,5.0,Orłowo,,6.732393759822968,4.91681702485131,1.8155777483242672
317,"Gdynia, Śródmieście, Henryka Sienkiewicza",5900000.0,24927.0,236.69,7.0,2.0,1,wtórny,2008.0,apartamentowiec,1.0,miejskie,2.0,0,1,1,14.0,Śródmieście,,6.770852011642144,4.39667001368851,2.374179909654638
318,"Gdynia, Śródmieście, A. Hryniewickiego",1100000.0,25000.0,44.0,2.0,2.0,1,wtórny,2009.0,apartamentowiec,1.0,miejskie,23.0,1,0,0,13.0,Śródmieście,,6.041392685158225,4.3979400086720375,1.6434526764861874
319,"Gdynia, Śródmieście, 10 Lutego",3950000.0,35483.0,111.32,3.0,5.0,1,wtórny,2021.0,apartamentowiec,1.0,miejskie,7.0,0,0,1,1.0,Śródmieście,,6.596597095626461,4.550020331237659,2.0465731976620054
320,"Gdynia, Orłowo",5500000.0,30556.0,180.0,4.0,1.0,1,wtórny,1930.0,kamienica,0.0,gazowe,2.0,0,1,1,92.0,Orłowo,,6.740362689494244,4.485096501355642,2.255272505103306
321,"Gdynia, Orłowo, Kurpiowska",2400000.0,13483.0,178.0,5.0,2.0,1,wtórny,2017.0,dom,0.0,inne,2.0,0,1,1,5.0,Orłowo,,6.380211241711606,4.12978653452034,2.250420002308894
322,"Gdynia, Śródmieście, Cypriana Kamila Norwida",3499000.0,30891.0,113.27,4.0,8.0,0,wtórny,2013.0,apartamentowiec,1.0,miejskie,12.0,0,0,0,9.0,Śródmieście,,6.5439439424829065,4.489831967461449,2.054114900510586
323,"Gdynia, Śródmieście, Stefana Żeromskiego",1400000.0,14840.0,94.34,3.0,4.0,1,wtórny,2020.0,apartamentowiec,1.0,miejskie,6.0,0,0,0,2.0,Śródmieście,,6.146128035678238,4.171433900943009,1.974695871909683
324,"Gdynia, Mały Kack, Druskiennicka",1550000.0,12297.0,126.05,4.0,1.0,1,wtórny,2001.0,blok,0.0,gazowe,3.0,1,1,0,21.0,Mały Kack,,6.190331698170292,4.089799173036164,2.1005428500124648
325,"Gdynia, Śródmieście, Węglowa",1400000.0,23874.0,58.64,3.0,1.0,0,wtórny,2020.0,apartamentowiec,1.0,miejskie,17.0,0,0,0,2.0,Śródmieście,,6.146128035678238,4.377925189530032,1.7681939616330715
326,"Gdynia, Kamienna Góra, Żołnierzy I Armii Wojska Polskiego",2350000.0,23500.0,100.0,4.0,4.0,1,wtórny,2015.0,apartamentowiec,1.0,miejskie,5.0,1,0,0,7.0,Kamienna Góra,,6.371067862271736,4.371067862271736,2.0
327,"Gdynia, Chwarzno-Wiczlino, gen. Mariusza Zaruskiego",1050000.0,7292.0,144.0,5.0,3.0,1,wtórny,2014.0,apartamentowiec,1.0,miejskie,3.0,1,0,1,8.0,Chwarzno-Wiczlino,,6.021189299069938,3.8628466599829387,2.1583624920952498
328,"Gdynia, Śródmieście, Świętojańska",2216000.0,25199.0,87.94,3.0,1.0,1,wtórny,2015.0,apartamentowiec,1.0,miejskie,5.0,0,0,0,7.0,Śródmieście,,6.345569756056392,4.401383306531581,1.9441864612836874
329,"Gdynia, Kamienna Góra, Henryka Sienkiewicza",5900000.0,24927.0,236.69,7.0,2.0,1,wtórny,2008.0,apartamentowiec,1.0,miejskie,2.0,0,1,1,14.0,Kamienna Góra,,6.770852011642144,4.39667001368851,2.374179909654638
330,"Gdynia, Działki Leśne, Wolności",1399000.0,17208.0,81.3,3.0,1.0,1,pierwotny,2021.0,apartamentowiec,1.0,gazowe,2.0,1,0,0,1.0,Działki Leśne,,6.145817714491828,4.235730397379406,1.9100905455940682
331,"Gdynia, Działki Leśne",1111000.0,14599.0,76.1,3.0,2.0,1,wtórny,1934.0,kamienica,0.0,gazowe,2.0,0,1,0,88.0,Działki Leśne,,6.0457140589408676,4.164323108568294,1.8813846567705728
332,"ul. Kazimierza Górskiego 1, Gdynia, pomorskie",769000.0,15991.0,48.09,2.0,10.0,1,wtórny,2021.0,apartamentowiec,1.0,,16.0,1,0,0,1.0,Wzgórze Św. Maksymiliana,Kazimierza Górskiego 1,5.885926339801431,4.203875623277334,1.6820547770738072
333,"Gdynia, Chwarzno-Wiczlino, Wiczlino, ul. Stanisława Filipkowskiego",1300000.0,14773.0,88.0,4.0,2.0,1,wtórny,2016.0,blok,0.0,kotłownia,3.0,1,0,1,6.0,Chwarzno-Wiczlino,,6.113943352306837,4.16946869782694,1.9444826721501687
334,"Gdynia, Chwarzno-Wiczlino",996000.0,11928.0,83.5,3.0,2.0,1,wtórny,2010.0,apartamentowiec,1.0,kotłownia,3.0,1,0,0,12.0,Chwarzno-Wiczlino,,5.998259338423699,4.076567630444938,1.921686475483602
335,"Gdynia, Dąbrowa, Oliwkowa",570000.0,8757.0,65.09,3.0,3.0,0,wtórny,,,0.0,,3.0,0,0,0,,Dąbrowa,,5.7558748556724915,3.9423553497076766,1.813514271541883
336,"Gdynia, Działki Leśne",990000.0,12375.0,80.0,3.0,2.0,1,wtórny,1933.0,kamienica,0.0,gazowe,4.0,1,1,0,89.0,Działki Leśne,,5.99563519459755,4.092545207605606,1.9030899869919435
337,"Gdynia, Cisowa, kurpińskiego 5",345000.0,10515.0,32.81,2.0,4.0,0,wtórny,,blok,0.0,miejskie,4.0,1,0,0,,Cisowa,,5.537819095073274,4.0218092770223395,1.5160062303860478
338,"Gdynia, Wielki Kack",650000.0,9503.0,68.4,3.0,0.0,0,wtórny,1998.0,apartamentowiec,0.0,miejskie,3.0,0,1,1,24.0,Wielki Kack,,5.812913356642856,3.9778607292646972,1.8350561017201164
339,"Gdynia, Leszczynki, ul. Stoigniewa",565000.0,10009.0,56.45,3.0,2.0,0,wtórny,2003.0,blok,0.0,gazowe,4.0,1,0,0,19.0,Leszczynki,,5.752048447819439,4.00039068924991,1.7516639462609866
340,"Gdynia, Działki Leśne, Słupecka 16",824000.0,20999.0,39.24,2.0,,0,pierwotny,2021.0,kamienica,0.0,,,1,0,1,1.0,Działki Leśne,,5.915927211697116,4.322198613551892,1.5937289987079108
341,"Gdynia, Chylonia",375000.0,9868.0,38.0,2.0,1.0,0,wtórny,1975.0,blok,1.0,miejskie,10.0,1,0,0,47.0,Chylonia,,5.574031267727719,3.9942291408176986,1.5797835966168101
342,"Gdynia, Śródmieście, Józefa Bema",565000.0,12556.0,45.0,2.0,1.0,0,wtórny,1955.0,,0.0,,4.0,1,0,0,67.0,Śródmieście,,5.752048447819439,4.098851307028005,1.6532125137753437
343,"Gdynia, Chylonia",250000.0,9542.0,26.2,2.0,2.0,0,wtórny,1970.0,blok,0.0,miejskie,4.0,0,0,0,52.0,Chylonia,,5.3979400086720375,3.9796394122229075,1.4183012913197455
344,"Gdynia, Mały Kack, fizylierów 1",560000.0,13923.0,40.22,2.0,0.0,1,wtórny,2022.0,apartamentowiec,1.0,miejskie,3.0,1,0,0,0.0,Mały Kack,,5.748188027006201,4.143732823138692,1.604442066260723
345,"Gdynia, Wielki Kack, Fikakowo, Gryfa Pomorskiego",660000.0,9429.0,70.0,3.0,3.0,1,wtórny,2001.0,blok,0.0,miejskie,4.0,1,0,0,21.0,Wielki Kack,,5.819543935541868,3.9744656357372423,1.845098040014257
346,"Gdynia, Dąbrowa, ul. Gorczycowa",495000.0,7771.0,63.7,3.0,3.0,0,wtórny,2001.0,blok,0.0,miejskie,,1,0,0,21.0,Dąbrowa,,5.694605198933568,3.8904769089601707,1.8041394323353503
347,"Gdynia, Grabówek, Morska",390000.0,9049.0,43.1,2.0,2.0,1,wtórny,1930.0,kamienica,0.0,elektryczne,4.0,0,0,0,92.0,Grabówek,,5.5910646070264995,3.9566005882131767,1.6344772701607315
348,"Gdynia, Redłowo, ul. Legionów",1260000.0,13548.0,93.0,4.0,3.0,1,wtórny,2023.0,apartamentowiec,0.0,,16.0,1,0,1,-1.0,Redłowo,,6.1003705451175625,4.131875187972593,1.968482948553935
349,"Gdynia, Śródmieście, Centrum",650000.0,18678.0,34.8,2.0,9.0,0,wtórny,1980.0,blok,1.0,miejskie,10.0,1,0,0,42.0,Śródmieście,,5.812913356642856,4.271330371066159,1.541579243946581
350,"Gdynia, Wielki Kack, ul. Lipowa",1589000.0,12646.0,125.65,4.0,3.0,1,wtórny,2007.0,blok,1.0,miejskie,3.0,1,0,1,15.0,Wielki Kack,,6.201123897207379,4.101953177477199,2.0991624929285946
351,"Gdynia, Chylonia, Lubawska 10",439000.0,10281.0,42.7,2.0,2.0,0,wtórny,1980.0,blok,0.0,miejskie,4.0,1,0,0,42.0,Chylonia,,5.642464520242122,4.01203535914953,1.6304278750250238
352,"Gdynia, Chylonia, Morska",430000.0,9463.0,45.44,2.0,1.0,0,wtórny,1980.0,blok,0.0,miejskie,4.0,1,0,0,42.0,Chylonia,,5.633468455579586,3.976028840091126,1.6574383227029625
353,"Gdynia, Wzgórze Św. Maksymiliana, ul. Legionów",699000.0,11847.0,59.0,3.0,2.0,0,wtórny,,kamienica,0.0,,3.0,0,0,0,,Wzgórze Św. Maksymiliana,,5.8444771757456815,4.073608388456207,1.7708520116421442
354,"Gdynia, Wzgórze Św. Maksymiliana, Legionów",699000.0,11847.0,59.0,3.0,2.0,0,wtórny,1950.0,kamienica,0.0,gazowe,3.0,0,0,0,72.0,Wzgórze Św. Maksymiliana,,5.8444771757456815,4.073608388456207,1.7708520116421442
355,"Gdynia, Orłowo",759000.0,18071.0,42.0,2.0,2.0,0,wtórny,2016.0,dom,1.0,,2.0,1,0,0,6.0,Orłowo,,5.88024177589548,4.25698218590157,1.6232492903979006
356,"Gdynia, Śródmieście, Centrum",499000.0,14013.0,35.61,2.0,3.0,0,wtórny,1952.0,,0.0,,4.0,0,0,0,70.0,Śródmieście,,5.69810054562339,4.1465311220074454,1.5515719736742537
357,"Gdynia, Śródmieście",799000.0,12784.0,62.5,3.0,1.0,0,wtórny,1962.0,kamienica,1.0,,5.0,1,0,0,60.0,Śródmieście,,5.902546779313991,4.106666761969916,1.7958800173440752
358,"Gdynia, Śródmieście, Zgoda",499000.0,13861.0,36.0,2.0,3.0,0,wtórny,1950.0,,0.0,,4.0,0,0,0,72.0,Śródmieście,,5.69810054562339,4.141794563523657,1.5563025007672873
359,"Gdynia, Witomino, Wielkokacka",365000.0,12167.0,30.0,1.0,8.0,1,wtórny,2003.0,blok,1.0,miejskie,11.0,1,0,0,19.0,Witomino,,5.562292864456475,4.085183508052778,1.4771212547196624
360,"Gdynia, Chwarzno-Wiczlino, ul. Augustyna Krauzego 12",630000.0,12233.0,51.5,3.0,4.0,0,wtórny,2020.0,blok,1.0,gazowe,4.0,1,0,0,2.0,Chwarzno-Wiczlino,,5.799340549453582,4.087532975734094,1.711807229041191
361,"Gdynia, Redłowo, Powstania Styczniowego",813000.0,14142.0,57.49,2.0,0.0,1,wtórny,2011.0,blok,1.0,miejskie,2.0,0,1,1,11.0,Redłowo,,5.910090545594068,4.150510832907967,1.7595923086459748
362,"Gdynia, Chylonia, ul. Chylońska 104 -110",518568.0,8200.0,63.24,3.0,,1,pierwotny,2022.0,blok,1.0,,,0,0,0,0.0,Chylonia,,5.714805713643888,3.9138138523837167,1.8009918612601714
363,"Gdynia, Mały Kack, ul. Olgierda",570168.0,11941.0,47.75,2.0,1.0,1,pierwotny,2023.0,blok,0.0,gazowe,3.0,0,0,0,-1.0,Mały Kack,,5.756002839396798,4.077040698342461,1.6789733759197651
364,"Gdynia, Mały Kack",759000.0,12997.0,58.4,2.0,1.0,1,pierwotny,2022.0,blok,1.0,miejskie,3.0,0,1,1,0.0,Mały Kack,,5.88024177589548,4.113843118937487,1.7664128471123994
365,"Gdynia, Pogórze",545700.0,8500.0,64.2,3.0,,1,pierwotny,2022.0,,1.0,,,1,0,0,0.0,Pogórze,,5.736953953783146,3.929418925714293,1.8075350280688534
366,"Gdynia, Działki Leśne, Warszawska",497000.0,13616.0,36.5,2.0,3.0,1,wtórny,,kamienica,0.0,miejskie,4.0,1,0,0,,Działki Leśne,,5.696356388733332,4.134049542740513,1.5622928644564746
367,"Gdynia, Leszczynki, Morska",385000.0,14259.0,27.0,2.0,5.0,0,wtórny,1970.0,blok,1.0,miejskie,11.0,1,0,0,52.0,Leszczynki,,5.585460729508501,4.154089069014421,1.4313637641589874
368,"Gdynia, Śródmieście, ul. Żwirki i Wigury",667000.0,13838.0,48.2,3.0,2.0,1,wtórny,,kamienica,0.0,miejskie,4.0,0,0,0,,Śródmieście,,5.824125833916549,4.141073326267475,1.6830470382388496
369,"Gdynia, Dąbrowa, Wiczlińska",1749900.0,8924.0,196.1,5.0,1.0,1,pierwotny,2021.0,dom,0.0,,1.0,0,1,1,1.0,Dąbrowa,,6.2430132311496775,3.9505595616118003,2.292477593667784
370,"Gdynia, Śródmieście, Morska",970000.0,9898.0,98.0,6.0,3.0,0,wtórny,1938.0,kamienica,0.0,miejskie,4.0,0,0,0,84.0,Śródmieście,,5.986771734266245,3.9955474494751373,1.9912260756924949
371,"Gdynia, Grabówek",699000.0,10282.0,67.98,3.0,4.0,0,wtórny,2009.0,blok,0.0,miejskie,6.0,0,0,0,13.0,Grabówek,,5.8444771757456815,4.012077599531015,1.832381160247041
372,"Gdynia, Śródmieście, A. Hryniewickiego",1350000.0,30269.0,44.6,2.0,8.0,0,wtórny,2009.0,apartamentowiec,1.0,miejskie,29.0,1,0,0,13.0,Śródmieście,,6.1303337684950066,4.4809980733630566,1.649334858712142
373,"Gdynia, Cisowa, Zbożowa",420000.0,7000.0,60.0,3.0,7.0,1,wtórny,1970.0,blok,1.0,miejskie,10.0,1,0,0,52.0,Cisowa,,5.623249290397901,3.845098040014257,1.7781512503836436
374,"Gdynia, Grabówek, kmdr. Przybyszewskiego",565000.0,7244.0,78.0,3.0,4.0,0,wtórny,1950.0,blok,0.0,miejskie,4.0,0,0,0,72.0,Grabówek,,5.752048447819439,3.8599784416420206,1.8920946026904804
375,"Gdynia, Śródmieście, 3 Maja",669000.0,11946.0,56.0,3.0,9.0,0,wtórny,1975.0,blok,1.0,miejskie,10.0,1,0,0,47.0,Śródmieście,,5.825426117767823,4.077222510411053,1.7481880270062005
376,"Gdynia, Wzgórze Św. Maksymiliana, Kazimierza Górskiego",550000.0,13415.0,41.0,2.0,5.0,0,wtórny,2021.0,apartamentowiec,0.0,miejskie,16.0,1,0,0,1.0,Wzgórze Św. Maksymiliana,,5.740362689494244,4.127590677007958,1.6127838567197355
377,"Gdynia, Witomino, Rolnicza",420000.0,10113.0,41.53,3.0,3.0,0,wtórny,1965.0,blok,0.0,miejskie,5.0,0,0,0,57.0,Witomino,,5.623249290397901,4.004880007240635,1.6183619311098782
378,"Gdynia, Grabówek, Maurycego Beniowskiego",499000.0,9784.0,51.0,3.0,3.0,0,wtórny,1970.0,blok,0.0,gazowe,4.0,1,0,0,52.0,Grabówek,,5.69810054562339,3.9905164440282292,1.7075701760979363
379,"Gdynia, Obłuże, adm. J. Unruga",416000.0,6933.0,60.0,3.0,8.0,0,wtórny,1990.0,blok,0.0,miejskie,10.0,0,0,0,32.0,Obłuże,,5.619093330626742,3.8409212001987716,1.7781512503836436
380,"Gdynia, Oksywie, inż. J. Śmidowicza",527568.0,10250.0,51.47,3.0,0.0,1,wtórny,2021.0,blok,0.0,miejskie,3.0,1,0,0,1.0,Oksywie,,5.722278445242615,4.010723865391773,1.7115541682501696
381,"gen. Mariusza Zaruskiego, Gdynia, pomorskie",710000.0,10547.0,67.32,3.0,2.0,1,wtórny,2017.0,apartamentowiec,1.0,miejskie,3.0,1,0,0,5.0,,gen. Mariusza Zaruskiego,5.8512583487190755,4.0231289460104955,1.8281441073037863
382,"Mikołaja Kopernika, Gdynia, pomorskie",599000.0,14262.0,42.0,2.0,0.0,0,wtórny,1929.0,blok,0.0,gazowe,3.0,0,0,0,93.0,,Mikołaja Kopernika,5.7774268223893115,4.154180432111824,1.6232492903979006
383,"Gdynia, Pogórze, Żeliwna",350000.0,9351.0,37.43,2.0,8.0,1,wtórny,2008.0,blok,1.0,miejskie,10.0,1,0,0,14.0,Pogórze,,5.544068044350276,3.9708580569965024,1.573219827114422
384,"Gdynia, Chwarzno-Wiczlino, Romana Felińskiego",749000.0,13108.0,57.14,3.0,2.0,1,wtórny,2020.0,blok,1.0,miejskie,4.0,1,0,0,2.0,Chwarzno-Wiczlino,,5.874481817699467,4.117536432710338,1.7569402360467241
385,"Gdynia, Witomino, Narcyzowa",454986.0,10990.0,41.4,2.0,10.0,0,wtórny,1980.0,blok,1.0,miejskie,10.0,1,0,0,42.0,Witomino,,5.65799803354439,4.040997692423491,1.6170003411208989
386,"Gdynia, Chwarzno-Wiczlino, Stanisława Filipkowskiego",849999.0,12143.0,70.0,3.0,0.0,0,wtórny,2014.0,blok,0.0,miejskie,3.0,0,1,1,8.0,Chwarzno-Wiczlino,,5.929418414779308,4.084325995016827,1.845098040014257
387,"Gdynia, Chwarzno-Wiczlino, Wiczlino, gen. Mariusza Zaruskiego",799000.0,10768.0,74.2,3.0,2.0,0,wtórny,2011.0,blok,0.0,miejskie,3.0,1,0,0,11.0,Chwarzno-Wiczlino,,5.902546779313991,4.032135046879902,1.8704039052790271
388,"Gdynia, Obłuże, gen. Marii Wittekówny",729270.0,9990.0,73.0,3.0,2.0,0,wtórny,2008.0,blok,0.0,miejskie,6.0,0,0,0,14.0,Obłuże,,5.862888348346438,3.9995654882259823,1.863322860120456
389,"Gdynia, Redłowo, Kaczewska",869000.0,14483.0,60.0,2.0,3.0,1,wtórny,2008.0,blok,0.0,miejskie,5.0,1,0,0,14.0,Redłowo,,5.939019776448666,4.160858530679992,1.7781512503836436
390,"Gdynia, Karwiny, Kornela Makuszyńskiego",520000.0,8254.0,63.0,3.0,4.0,0,wtórny,1986.0,blok,0.0,miejskie,4.0,1,0,0,36.0,Karwiny,,5.7160033436347994,3.9166644645413973,1.7993405494535817
391,"Gdynia, Grabówek, Komandorska",520000.0,10379.0,50.1,2.0,2.0,0,wtórny,1963.0,blok,0.0,miejskie,3.0,1,0,0,59.0,Grabówek,,5.7160033436347994,4.016155511951455,1.6998377258672457
392,"Gdynia, Redłowo, Powstania Wielkopolskiego",545000.0,11848.0,46.0,2.0,0.0,0,wtórny,1970.0,blok,0.0,miejskie,4.0,1,0,0,52.0,Redłowo,,5.7363965022766426,4.073645045513152,1.662757831681574
393,"Gdynia, Chwarzno-Wiczlino, Wiczlino, Porannych Mgieł",1249000.0,8058.0,155.0,5.0,0.0,1,wtórny,2022.0,dom,0.0,gazowe,1.0,1,1,0,0.0,Chwarzno-Wiczlino,,6.096562438374136,3.906227263052359,2.1903316981702914
394,"Gdynia, Wielki Kack, Bieszczadzka",520000.0,9905.0,52.5,3.0,2.0,1,wtórny,2018.0,blok,0.0,gazowe,2.0,1,0,0,4.0,Wielki Kack,,5.7160033436347994,3.995854479874566,1.7201593034059568
395,"Gdynia, Chwarzno-Wiczlino, Czesława Niemena",820000.0,10705.0,76.6,4.0,0.0,1,wtórny,2021.0,apartamentowiec,0.0,gazowe,4.0,0,1,0,1.0,Chwarzno-Wiczlino,,5.913813852383717,4.029586671630457,1.8842287696326039
396,"Gdynia, Leszczynki, Ludwika Zamenhofa",454000.0,9726.0,46.68,3.0,3.0,0,wtórny,1980.0,blok,1.0,miejskie,8.0,1,0,0,42.0,Leszczynki,,5.657055852857104,3.9879342652321585,1.6691308473733326
397,"Gdynia, Oksywie, inż. J. Śmidowicza",488413.0,10250.0,47.65,3.0,3.0,1,wtórny,2021.0,blok,0.0,miejskie,3.0,1,0,0,1.0,Oksywie,,5.6887872149639325,4.010723865391773,1.6780629049743452
398,"Gdynia, Redłowo, Bohaterów Starówki Warszawskiej",559000.0,10627.0,52.6,2.0,0.0,0,wtórny,1972.0,blok,0.0,miejskie,10.0,1,0,0,50.0,Redłowo,,5.747411807886423,4.026410680578774,1.720985744153739
399,"Gdynia, Oksywie, Zielona",579000.0,10105.0,57.3,3.0,1.0,1,wtórny,2016.0,blok,1.0,miejskie,2.0,1,0,0,6.0,Oksywie,,5.7626785637274365,4.004536317851323,1.75815462196739
400,"Gdynia, Redłowo, Powstania Śląskiego",499000.0,11605.0,43.0,2.0,4.0,0,wtórny,1969.0,blok,0.0,miejskie,4.0,1,0,0,53.0,Redłowo,,5.69810054562339,4.064645144791936,1.6334684555795864
401,"Gdynia, Grabówek, Morska",380000.0,8837.0,43.0,2.0,1.0,0,wtórny,1926.0,kamienica,0.0,miejskie,3.0,1,0,0,96.0,Grabówek,,5.57978359661681,3.9463048549934747,1.6334684555795864
402,"Gdynia, Pogórze, Tadeusza Kościuszki",699000.0,13189.0,53.0,3.0,3.0,1,wtórny,2015.0,blok,1.0,miejskie,5.0,1,0,0,7.0,Pogórze,,5.8444771757456815,4.120211868257074,1.724275869600789
403,"Gdynia, Chwarzno-Wiczlino, Joachima Joachimczyka",999000.0,12243.0,81.6,4.0,2.0,1,wtórny,2017.0,blok,1.0,miejskie,3.0,1,0,0,5.0,Chwarzno-Wiczlino,,5.999565488225982,4.087887849492933,1.911690158753861
404,"Gdynia, Wielki Kack, Sopocka",920000.0,8598.0,107.0,4.0,1.0,1,wtórny,2000.0,blok,0.0,gazowe,2.0,0,0,1,22.0,Wielki Kack,,5.963787827345556,3.9343974407809883,2.0293837776852097
405,"Gdynia, Wielki Kack, Miętowa",680000.0,11333.0,60.0,3.0,0.0,1,wtórny,2019.0,blok,1.0,miejskie,2.0,0,1,0,3.0,Wielki Kack,,5.832508912706237,4.0543448887676306,1.7781512503836436
406,"Gdynia, Chwarzno-Wiczlino, Wiczlino, Stanisława Filipkowskiego",769000.0,11652.0,66.0,4.0,1.0,0,wtórny,2011.0,blok,0.0,miejskie,3.0,1,0,0,11.0,Chwarzno-Wiczlino,,5.885926339801431,4.066400475955629,1.8195439355418688
407,"Gdynia, Chwarzno-Wiczlino, Augustyna Krauzego",730000.0,11824.0,61.74,3.0,1.0,1,wtórny,2020.0,blok,0.0,inne,4.0,1,0,0,2.0,Chwarzno-Wiczlino,,5.863322860120456,4.07276442105075,1.7905666251460766
408,"Gdynia, Redłowo, Powstania Styczniowego",799000.0,20320.0,39.32,2.0,2.0,1,wtórny,2010.0,apartamentowiec,0.0,miejskie,2.0,1,0,0,12.0,Redłowo,,5.902546779313991,4.307923703611881,1.594613509160098
409,"Gdynia, Działki Leśne, Słupecka",2798000.0,15043.0,186.0,5.0,3.0,1,wtórny,2021.0,szeregowiec,0.0,gazowe,3.0,1,1,1,1.0,Działki Leśne,,6.446847710155809,4.1773344555057,2.2695129442179165
410,"Gdynia, Chwarzno-Wiczlino, Chwarzno, Gen. Mariusza Zaruskiego",650000.0,11818.0,55.0,3.0,1.0,1,wtórny,2013.0,blok,1.0,,3.0,1,0,0,9.0,Chwarzno-Wiczlino,,5.812913356642856,4.072543985643648,1.7403626894942439
411,"Gdynia, Chylonia",375000.0,8601.0,43.6,2.0,2.0,0,wtórny,,blok,0.0,miejskie,4.0,1,0,0,,Chylonia,,5.574031267727719,3.934548947666147,1.639486489268586
412,"Gdynia, Oksywie, Bosmańska",390000.0,8008.0,48.7,2.0,1.0,1,wtórny,1961.0,kamienica,0.0,miejskie,3.0,0,0,0,61.0,Oksywie,,5.5910646070264995,3.903524064471262,1.6875289612146342
413,"Gdynia, Orłowo, al. Zwycięstwa",585000.0,12264.0,47.7,3.0,1.0,1,wtórny,1960.0,blok,0.0,miejskie,3.0,1,0,0,62.0,Orłowo,,5.76715586608218,4.088632141846319,1.678518379040114
414,"Gdynia, Leszczynki, Wiejska",525000.0,10038.0,52.3,2.0,7.0,1,wtórny,2010.0,blok,1.0,miejskie,10.0,0,0,0,12.0,Leszczynki,,5.720159303405957,4.001647191346038,1.7185016888672742
415,"Gdynia, Orłowo",1200000.0,17366.0,69.1,3.0,1.0,1,wtórny,2006.0,blok,1.0,,3.0,1,0,0,16.0,Orłowo,,6.079181246047625,4.2396997966866605,1.8394780473741983
416,"Gdynia, Leszczynki, Morska",385000.0,14259.0,27.0,2.0,5.0,0,wtórny,,blok,1.0,miejskie,10.0,1,0,0,,Leszczynki,,5.585460729508501,4.154089069014421,1.4313637641589874
417,"Gdynia, Chylonia, Wejherowska",379000.0,9024.0,42.0,2.0,0.0,1,wtórny,1970.0,blok,0.0,miejskie,4.0,1,0,0,52.0,Chylonia,,5.578639209968072,3.955399086639267,1.6232492903979006
418,"Gdynia, Grabówek",339000.0,8856.0,38.28,1.0,1.0,0,wtórny,1950.0,kamienica,0.0,miejskie,4.0,0,0,0,72.0,Grabówek,,5.5301996982030825,3.9472376078706666,1.5829719291048059
419,"Gdynia, Działki Leśne",949000.0,13117.0,72.35,4.0,1.0,1,pierwotny,2022.0,apartamentowiec,0.0,gazowe,2.0,1,0,1,0.0,Działki Leśne,,5.977266212427293,4.117834518543748,1.8594385354550562
420,"Gdynia, Grabówek",390000.0,10541.0,37.0,2.0,2.0,0,wtórny,,blok,0.0,elektryczne,4.0,0,0,0,,Grabówek,,5.5910646070264995,4.022881813332031,1.568201724066995
421,"Gdynia, Śródmieście, Węglowa",1083088.8,13939.0,77.7,3.0,1.0,1,pierwotny,2021.0,apartamentowiec,1.0,miejskie,17.0,0,0,1,1.0,Śródmieście,,6.034664064906952,4.144231618090547,1.8904210188009143
422,"Gdynia, Orłowo, Kolibki, Bernadowska",2383949.0,18019.0,132.3,4.0,2.0,1,pierwotny,2021.0,apartamentowiec,1.0,,2.0,1,0,0,1.0,Orłowo,,6.377296960273109,4.2557306852816295,2.121559844187501
423,"Gdynia, Wzgórze Św. Maksymiliana, Żołnierzy Dywizji Kościuszkowskiej",885385.0,11500.0,76.99,4.0,0.0,1,pierwotny,2022.0,apartamentowiec,1.0,miejskie,2.0,0,0,0,0.0,Wzgórze Św. Maksymiliana,,5.94713215998255,4.060697840353612,1.8864343196289384
424,"Gdynia, Pustki Cisowskie-Demptowo, Pustki Cisowskie, Modrzewiowa",999000.0,8510.0,117.39,4.0,3.0,1,wtórny,2006.0,blok,0.0,miejskie,3.0,1,0,0,16.0,Pustki Cisowskie-Demptowo,,5.999565488225982,3.929929560084588,2.0696311026203427
425,"Gdynia, Karwiny",1650000.0,17765.0,92.88,4.0,3.0,1,wtórny,2007.0,,1.0,miejskie,4.0,1,0,0,15.0,Karwiny,,6.217483944213907,4.249565211825347,1.9679222067305173
426,"Gdynia, Chylonia",419000.0,10662.0,39.3,2.0,3.0,0,wtórny,1980.0,,0.0,miejskie,4.0,0,0,0,42.0,Chylonia,,5.622214022966295,4.027838678188945,1.5943925503754266
427,"Gdynia, Dąbrowa, Gorczycowa",499000.0,6653.0,75.0,2.0,3.0,0,wtórny,2000.0,,0.0,miejskie,3.0,1,0,0,22.0,Dąbrowa,,5.69810054562339,3.8230175234460493,1.8750612633917
428,"Gdynia, Chwarzno-Wiczlino, Chwarzno",670000.0,13958.0,48.0,2.0,,0,wtórny,2014.0,apartamentowiec,0.0,miejskie,,0,0,1,8.0,Chwarzno-Wiczlino,,5.826074802700826,4.144823193989894,1.6812412373755872
429,"Gdynia, Orłowo, Orłowska",1185000.0,15000.0,79.0,3.0,1.0,1,wtórny,1996.0,apartamentowiec,1.0,gazowe,4.0,0,0,0,26.0,Orłowo,,6.073718350346122,4.176091259055681,1.8976270912904414
430,"Gdynia, Orłowo",749000.0,19364.0,38.68,2.0,3.0,1,wtórny,2022.0,apartamentowiec,1.0,,3.0,0,0,0,0.0,Orłowo,,5.874481817699467,4.2869950739688525,1.5874864654109642
